*********************************************************************
Spectrum LCDSmartie Plugin by Dave Perrow 8th March 2012
SPC plugin version 1.2.231.1268
Log file Opened at 12/01/22 13:33:49
*********************************************************************
13:33:49.401 Log file Opened at 12/01/22 13:33:49
13:33:49.401 OS = 6.2
13:33:49.401 SPC_read_cfg_file: Started
13:33:49.401 SPC_read_cfg_file: File Opened
13:33:49.401 SPC_read_cfg_file: AudioDevice=0
13:33:49.401 SPC_read_cfg_file: AudioInput=0
13:33:49.401 SPC_read_cfg_file: Scaling=1.000000
13:33:49.401 SPC_read_cfg_file: UseWasapi=1
13:33:49.401 SPC_read_cfg_file: BlackChar=0
13:33:49.401 SPC_read_cfg_file: BottomLine=0
13:33:49.401 SPC_read_cfg_file: AutoScale=1
13:33:49.401 SPC_read_cfg_file: MaxScale=3.000000
13:33:49.401 SPC_read_cfg_file: MinScale=0.100000
13:33:49.401 SPC_read_cfg_file: UpFactor=0.010000
13:33:49.401 SPC_read_cfg_file: DownFactor=0.010000
13:33:49.401 SPC_read_cfg_file: ScaleBar=0
13:33:49.401 SPC_read_cfg_file: Finished
13:33:49.592 SPC_init entry=28, type=9, mixfreq=0, mixchans=0, flags=0, name=Digital Audio (HDMI) (High Definition Audio Device) [BASS_WASAPI_TYPE_HDMI]
13:33:49.594 SPC_init entry=29, type=9, mixfreq=0, mixchans=0, flags=24, name=Digital Audio (HDMI) (High Definition Audio Device)[Input][Loopback] [BASS_WASAPI_TYPE_HDMI]
13:33:49.597 SPC_init entry=30, type=9, mixfreq=0, mixchans=0, flags=0, name=Digital Output (2- AMD High Definition Audio Device) [BASS_WASAPI_TYPE_HDMI]
13:33:49.600 SPC_init entry=31, type=9, mixfreq=0, mixchans=0, flags=24, name=Digital Output (2- AMD High Definition Audio Device)[Input][Loopback] [BASS_WASAPI_TYPE_HDMI]
13:33:49.603 SPC_init entry=32, type=9, mixfreq=0, mixchans=0, flags=0, name=Digital Output (3- AMD High Definition Audio Device) [BASS_WASAPI_TYPE_HDMI]
13:33:49.605 SPC_init entry=33, type=9, mixfreq=0, mixchans=0, flags=24, name=Digital Output (3- AMD High Definition Audio Device)[Input][Loopback] [BASS_WASAPI_TYPE_HDMI]
13:33:49.608 SPC_init entry=34, type=8, mixfreq=0, mixchans=0, flags=0, name=Digital Audio (S/PDIF) (High Definition Audio Device) [BASS_WASAPI_TYPE_SPDIF]
13:33:49.610 SPC_init entry=35, type=8, mixfreq=0, mixchans=0, flags=24, name=Digital Audio (S/PDIF) (High Definition Audio Device)[Input][Loopback] [BASS_WASAPI_TYPE_SPDIF]
13:33:49.613 SPC_init entry=36, type=9, mixfreq=0, mixchans=0, flags=0, name=Digital Output (AMD High Definition Audio Device) [BASS_WASAPI_TYPE_HDMI]
13:33:49.615 SPC_init entry=37, type=9, mixfreq=0, mixchans=0, flags=24, name=Digital Output (AMD High Definition Audio Device)[Input][Loopback] [BASS_WASAPI_TYPE_HDMI]
13:33:49.618 SPC_init entry=38, type=9, mixfreq=0, mixchans=0, flags=0, name=Digital Output (3- AMD High Definition Audio Device) [BASS_WASAPI_TYPE_HDMI]
13:33:49.620 SPC_init entry=39, type=9, mixfreq=0, mixchans=0, flags=24, name=Digital Output (3- AMD High Definition Audio Device)[Input][Loopback] [BASS_WASAPI_TYPE_HDMI]
13:33:49.623 SPC_init entry=40, type=9, mixfreq=0, mixchans=0, flags=0, name=Digital Output (2- AMD High Definition Audio Device) [BASS_WASAPI_TYPE_HDMI]
13:33:49.625 SPC_init entry=41, type=9, mixfreq=0, mixchans=0, flags=24, name=Digital Output (2- AMD High Definition Audio Device)[Input][Loopback] [BASS_WASAPI_TYPE_HDMI]
13:33:49.628 SPC_init entry=42, type=9, mixfreq=0, mixchans=0, flags=0, name=Digital Output (AMD High Definition Audio Device) [BASS_WASAPI_TYPE_HDMI]
13:33:49.630 SPC_init entry=43, type=9, mixfreq=0, mixchans=0, flags=24, name=Digital Output (AMD High Definition Audio Device)[Input][Loopback] [BASS_WASAPI_TYPE_HDMI]
13:33:49.633 SPC_init entry=44, type=9, mixfreq=0, mixchans=0, flags=0, name=Digital Audio (HDMI) (High Definition Audio Device) [BASS_WASAPI_TYPE_HDMI]
13:33:49.635 SPC_init entry=45, type=9, mixfreq=0, mixchans=0, flags=24, name=Digital Audio (HDMI) (High Definition Audio Device)[Input][Loopback] [BASS_WASAPI_TYPE_HDMI]
13:33:49.638 SPC_init entry=46, type=9, mixfreq=0, mixchans=0, flags=0, name=Digital Output (2- AMD High Definition Audio Device) [BASS_WASAPI_TYPE_HDMI]
13:33:49.640 SPC_init entry=47, type=9, mixfreq=0, mixchans=0, flags=24, name=Digital Output (2- AMD High Definition Audio Device)[Input][Loopback] [BASS_WASAPI_TYPE_HDMI]
13:33:49.643 SPC_init entry=48, type=9, mixfreq=0, mixchans=0, flags=0, name=Digital Output (Intel WiDi Audio Device) [BASS_WASAPI_TYPE_HDMI]
13:33:49.645 SPC_init entry=49, type=9, mixfreq=0, mixchans=0, flags=24, name=Digital Output (Intel WiDi Audio Device)[Input][Loopback] [BASS_WASAPI_TYPE_HDMI]
13:33:49.648 SPC_init entry=50, type=9, mixfreq=0, mixchans=0, flags=0, name=Digital Output (AMD High Definition Audio Device) [BASS_WASAPI_TYPE_HDMI]
13:33:49.650 SPC_init entry=51, type=9, mixfreq=0, mixchans=0, flags=24, name=Digital Output (AMD High Definition Audio Device)[Input][Loopback] [BASS_WASAPI_TYPE_HDMI]
13:33:49.654 SPC_init entry=52, type=8, mixfreq=48000, mixchans=2, flags=1, name=SPDIF Interface (TX0) (VIA HD Audio(Win8))[Enabled] [BASS_WASAPI_TYPE_SPDIF]
13:33:49.656 SPC_init entry=53, type=8, mixfreq=48000, mixchans=2, flags=25, name=SPDIF Interface (TX0) (VIA HD Audio(Win8))[Enabled][Input][Loopback] [BASS_WASAPI_TYPE_SPDIF]
13:33:49.659 SPC_init entry=54, type=9, mixfreq=0, mixchans=0, flags=0, name=Digital Audio (HDMI) (High Definition Audio Device) [BASS_WASAPI_TYPE_HDMI]
13:33:49.662 SPC_init entry=55, type=9, mixfreq=0, mixchans=0, flags=24, name=Digital Audio (HDMI) (High Definition Audio Device)[Input][Loopback] [BASS_WASAPI_TYPE_HDMI]
13:33:49.664 SPC_init entry=56, type=10, mixfreq=0, mixchans=0, flags=0, name=Internal AUX Jack (MIDI function) [BASS_WASAPI_TYPE_UNKNOWN]
13:33:49.666 SPC_init entry=57, type=10, mixfreq=0, mixchans=0, flags=24, name=Internal AUX Jack (MIDI function)[Input][Loopback] [BASS_WASAPI_TYPE_UNKNOWN]
13:33:49.669 SPC_init entry=58, type=9, mixfreq=0, mixchans=0, flags=0, name=Digital Output (3- AMD High Definition Audio Device) [BASS_WASAPI_TYPE_HDMI]
13:33:49.671 SPC_init entry=59, type=9, mixfreq=0, mixchans=0, flags=24, name=Digital Output (3- AMD High Definition Audio Device)[Input][Loopback] [BASS_WASAPI_TYPE_HDMI]
13:33:49.674 SPC_init entry=60, type=9, mixfreq=0, mixchans=0, flags=0, name=Digital Output (2- Intel WiDi Audio Device) [BASS_WASAPI_TYPE_HDMI]
13:33:49.676 SPC_init entry=61, type=9, mixfreq=0, mixchans=0, flags=24, name=Digital Output (2- Intel WiDi Audio Device)[Input][Loopback] [BASS_WASAPI_TYPE_HDMI]
13:33:49.679 SPC_init entry=62, type=9, mixfreq=0, mixchans=0, flags=0, name=Digital Output (2- AMD High Definition Audio Device) [BASS_WASAPI_TYPE_HDMI]
13:33:49.681 SPC_init entry=63, type=9, mixfreq=0, mixchans=0, flags=24, name=Digital Output (2- AMD High Definition Audio Device)[Input][Loopback] [BASS_WASAPI_TYPE_HDMI]
13:33:49.684 SPC_init entry=64, type=9, mixfreq=0, mixchans=0, flags=0, name=Digital Output (3- AMD High Definition Audio Device) [BASS_WASAPI_TYPE_HDMI]
13:33:49.686 SPC_init entry=65, type=9, mixfreq=0, mixchans=0, flags=24, name=Digital Output (3- AMD High Definition Audio Device)[Input][Loopback] [BASS_WASAPI_TYPE_HDMI]
13:33:49.689 SPC_init entry=66, type=9, mixfreq=0, mixchans=0, flags=0, name=Digital Output (AMD High Definition Audio Device) [BASS_WASAPI_TYPE_HDMI]
